,_id,value
0,SOUTH WINDSOR,9.0
1,WILTON,2.0
2,EAST GRANBY,1.0
3,BRIDGEPORT,201.0
4,BRANFORD,21.0
5,MYSTIC,3.0
6,EAST LYME,1.0
7,WINCHESTER,5.0
8,MILFORD,36.0
9,PLYMOUTH,6.0
10,ROCKY HILL,3.0
11,WEST HAVEN,64.0
12,STAFFORD SPRINGS,8.0
13,EAST HADDAM,2.0
14,TORINGTON,1.0
15,W HAVEN,1.0
16,MOODUS,1.0
17,BURLINGTON,3.0
18,WOODSTOCK,1.0
19,STERLING,1.0
20,VOLUNTOWN,3.0
21,ANSONIA,22.0
22,UK,11.0
23,SHELTON,25.0
24,SIMSBURY,3.0
25,WEATOGUE,1.0
26,TAFTSVILLE,1.0
27,BETHEL,4.0
28,ANDOVER,1.0
29,REDDING,2.0
30,ASHFORD,4.0
31,TAFTVILLE,1.0
32,FISHERS ISLAND,1.0
33,MOOSUP,6.0
34,NEW HAVEN,243.0
35,PUTNAM,3.0
36,BOLTON,3.0
37,EASTHAVEN,1.0
38,GUILFORD,5.0
39,WEST HARTFORD,29.0
40,PORT CHESTER,3.0
41,DAYVILLE,4.0
42,HIGGANUM,2.0
43,SPRAGUE,2.0
44,GALES FERRY,1.0
45,BAKERSVILE,1.0
46,WETHERSFIELD,29.0
47,WINDSOR LOCKS,10.0
48,WESTBROOK,6.0
49,ROCKVILLE,2.0
50,WESTON,1.0
51,AVON,3.0
52,BLOOMFIELD,6.0
53,STONINGTON,3.0
54,HAMDEN,35.0
55,OAKVILLE,1.0
56,STORMVILLE,1.0
57,PLAINVILLE,21.0
58,MIDDLEFIELD,4.0
59,PLANTSVILLE,2.0
60,DANIELSON,4.0
61,MORRIS,2.0
62,WINDSOR,25.0
63,NORFOLK,1.0
64,CHAPLIN,5.0
65,NORWALK,27.0
66,WILLIMANTIC,20.0
67,NEW FAIRFIELD,3.0
68,RIDGEFIELD,2.0
69,EAST HAVEN,24.0
70,MANCHESTER,50.0
71,STORRS,1.0
72,SHARON,2.0
73,THOMASTON,5.0
74,GROTON,23.0
75,SOUTHINGTON,25.0
76,ROCKFALL,1.0
77,MARLBOROUGH,3.0
78,NORTH CANAAN,1.0
79,RIVERSIDE,1.0
80,EAST WINDSOR,10.0
81,NIANTIC,6.0
82,THOMPSON,2.0
83,UNCASVILLE,11.0
84,LEBANON,5.0
85,WOODBURY,2.0
86,OLD SAYBROOK,4.0
87,MADISON,5.0
88,JEWETT CITY,5.0
89,WEST SUFFIELD,3.0
90,WILLINGTON,3.0
91,MANSFIELD,2.0
92,CLINTON,8.0
93,NEW BRITAIN,98.0
94,MIDDLETOWN,62.0
95,,63.0
96,CANTON,3.0
97,NEWTOWN,6.0
98,PRESTON,2.0
99,NEW LONDON CT,1.0
100,UNIONVILLE,4.0
101,NORTH STONINGTON,1.0
102,SOUTHBURY,7.0
103,VERNON-ROCKVILLE,1.0
104,NEW HARTFORD,5.0
105,TORRINGTON,58.0
106,WOLCOTT,14.0
107,PROSPECT,3.0
108,BROOKLYN,3.0
109,RYE BROOK,1.0
110,MASHANTUCKET,3.0
111,WALLINGFORD,24.0
112,ELLINGTON,1.0
113,UNKNOWN,62.0
114,WASHINGTON,1.0
