,_id,value
0,CENTRAL VILLAGE,3.0
1,BRIDEPORT,1.0
2,COLEBROOK,1.0
3,WESTERLY,1.0
4,WILLIMANTIC,36.0
5,PLAINVILLE,40.0
6,MORRIS,4.0
7,STAFFORD,10.0
8,NORFOLK,2.0
9,MILFORD,75.0
10,POMFRET,3.0
11,MERIDEN,130.0
12,RYE,2.0
13,CLINTON,20.0
14,STRATFORD,72.0
15,WETHERSFIELD,44.0
16,OXFORD,14.0
17,PLANTSVILLE,7.0
18,OAKVILLE,5.0
19,HAMDEN,59.0
20,GUILFORD,13.0
21,CHAPLIN,7.0
22,DAYVILLE,5.0
23,SPRAGUE,5.0
24,SHERMAN,1.0
25,PLYMOUTH,14.0
26,STONINGTON,8.0
27,MIDDLEFIELD,2.0
28,NIANTIC,15.0
29,PUTNAM,14.0
30,MOOSUP,18.0
31,OLD GREENWICH,2.0
32,FABYAN,1.0
33,WEST CORNWALL,1.0
34,VOLUNTOWN,6.0
35,NEW FAIRFIELD,9.0
36,MANCHESTER,111.0
37,EAST HAVEN,44.0
38,WINDSOR,33.0
39,BROOKLYN,5.0
40,NORWALK,59.0
41,EAST CANAAN,1.0
42,MIDDLEBURY,5.0
43,,60.0
44,NEWTOWN,15.0
45,WINDSOR LOCKS,24.0
46,JEWETT CITY,17.0
47,NORTH BRANFORD,8.0
48,UNCASVILLE,21.0
49,EAST WINDSOR,27.0
50,LEBANON,4.0
51,WOODBURY,4.0
52,CROMWELL,13.0
53,HAMPTON,2.0
54,DEEP RIVER,4.0
55,SOUTHBURY,12.0
56,BARKHAMSTED,4.0
57,ESSEX,4.0
58,COLCHESTER,21.0
59,GROTON,47.0
60,ELLINGTON,11.0
61,MONTVILLE,11.0
62,WALLINGFORD,38.0
63,ONECO,1.0
64,SALISBURY,2.0
65,TORRINGTON,108.0
66,PROSPECT,5.0
67,WESTON,3.0
68,VERNON-ROCKVILLE,4.0
69,CHESTER,4.0
70,DURHAM,2.0
71,BRYAM,1.0
72,SALEM,5.0
73,WILLINGTON,4.0
74,BETHANY,4.0
75,PORTLAND,16.0
76,MONROE,12.0
77,WINDHAM,28.0
78,BERLIN,25.0
79,RIVERSIDE,2.0
80,NAUGATUCK,67.0
81,SEYMOUR,24.0
82,WESTPORT,7.0
83,HARTFORD,569.0
84,ROXBURY,2.0
85,NORTH WINDHAM,4.0
86,WEST HAVEN,101.0
87,RYE BROOK,1.0
88,BROOKFIELD,13.0
89,NEW CANAAN,4.0
90,PAWCATUCK,5.0
91,PORT CHESTER,7.0
92,TRUMBULL,18.0
93,BRIDGEPORT,320.0
94,CANTERBURY,5.0
95,KENSINGTON,3.0
96,EASTON,3.0
97,PRESTON,4.0
98,WILTON,7.0
99,QUAKER HILL,4.0
100,LISBON,4.0
101,WATERTOWN,29.0
102,NORWICH,126.0
103,SOUTH WINDSOR,8.0
104,GAYLORDSVILLE,1.0
105,BALTIC,4.0
106,BEACON FALLS,13.0
107,WEST HARTFORD,36.0
108,NEWINGTON,51.0
109,HIGGANUM,3.0
110,NEW LONDON,110.0
111,FARMINGTON,20.0
112,BANTAM,3.0
113,ASHFORD,6.0
114,FISHERS ISLAND,1.0
115,BOZRAH,4.0
116,BOLTON,5.0
117,COS COB,1.0
118,GRANBY,9.0
119,FAIRFIELD,28.0
120,LITCHFIELD,3.0
121,UK,18.0
122,MOODUS,4.0
123,STORRS,3.0
124,BRIDGEWATER,3.0
125,SHARON,2.0
126,CANAAN,2.0
127,COVENTRY,5.0
128,KILLINGWORTH,2.0
129,ANSONIA,30.0
130,ROCKY HILL,15.0
131,WATERBURY,399.0
132,WINSTED,12.0
133,WOODSTOCK,5.0
134,SOUTH SALEM,2.0
135,WEST HARTFRD,1.0
136,MYSTIC,6.0
137,CHESHIRE,16.0
138,SOMERS,4.0
139,DANIELSON,11.0
140,NORTH HAVEN,20.0
141,CANTON,4.0
142,GALES FERRY,5.0
143,MANSFIELD,8.0
144,BRISTOL,157.0
145,CHEPACHET,1.0
146,ORANGE,6.0
147,NORTH CANAAN,6.0
148,REDDING,7.0
149,SOUTHINGTON,51.0
150,SIMSBURY,7.0
151,KILLINGLY,17.0
152,AMSTON,3.0
153,WINCHESTER CENTER,1.0
154,WEATOGUE,1.0
155,ANDOVER,3.0
156,THOMASTON,12.0
157,ROCKFALL,1.0
158,NEW HAVEN,338.0
159,NORTH STONINGTON,5.0
160,EAST LYME,6.0
161,BAKERSVILE,1.0
162,WAUREGAN,2.0
163,STERLING,4.0
164,MIDDLETOWN,100.0
165,BLOOMFIELD,10.0
166,WEST SUFFIELD,6.0
167,LYME,1.0
